"Respondent ID","Start Date","End Date","What best describes you?","What’s your highest academic degree?","What best describes what you do now?","How interested are you in Technical demonstrations of techniques and packages.","How interested are you in Training on data science methods","How interested are you in Talks about big impressive projects","How interested are you in Talks about solving everyday challenges","How interested are you in Social events","R","Python","Stats Software e.g. SAS  SPSS STATA JMP","Tableau","Spreadsheets e.g. Excel Numbers Matlab","C++","SQL","Hadoop","Java","Hive","Pig","Ruby","Perl","What percentage of your time is Cleaning data","What percentage of your time is Analyzing data","What percentage of your time is Creating data visualizations","What percentage of your time is  Creating and managing databases","How many data science meetups have you attended?","As a result of the Data Science Meetup I have connected with colleagues","As a result of the Data Science Meetup I've found a job or consulting project","As a result of the Data Science Meetup  I've learned new skills that I now use at work","As a result of the Data Science Meetup I've recruited someone for a job or project","As a result of the Data Science Meetup I've participated other meetups","As a result of the Data Science Meetup I've been motivated to take seek other training opportunities (online or traditional)","Mon 6-7:30","Mon 7:30-9","Tue 6-7:","Tue 7:30-","Wed 6-7:30","Wed 7:3","Thu 6-7:3","Thu 7:30-9"
6488092103,"10/31/2017 01:09:44 PM","10/31/2017 01:13:25 PM","I’m not a data scientist but I need some of the skills for my job or studies","Doctorate","I’m a professor","Somewhat interested","Somewhat interested","Definitely VERY interested","Definitely VERY interested","NOT interested","Rarely use","Rarely use","Use all the time","Never use","Use all the time","Never use","Rarely use","Never use","Never use","Never use","Never use","Never use","Never use",70,10,15,5,"5-10","It hasn't happened but I think it could","I can't see this happening","This has happened as a DIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as a DIRECT result",1,,1,,1,,1,
6487627733,"10/31/2017 10:34:57 AM","10/31/2017 10:39:16 AM","I’m not a data scientist but I need some of the skills for my job or studies","Master’s degree","I’m an entrepreneur","Definitely VERY interested","Neutral","Definitely VERY interested","Definitely VERY interested","Definitely VERY interested","Rarely use","Never use","Rarely use","Never use","Use all the time","Never use","Never use","Never use","Never use","Never use","Never use","Never use","Never use",0,85,5,10,"Less than 5","I can't see this happening","I can't see this happening","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could",1,,1,,1,,1,
6487598921,"10/31/2017 10:25:54 AM","10/31/2017 10:29:04 AM","I just come to the meetups for fun.","Doctorate","I work for a company","Neutral","Neutral","Definitely VERY interested","Definitely VERY interested","Definitely VERY interested","Never use","Never use","Never use","Never use","Rarely use","Never use","Regularly use","Rarely use","Use all the time","Never use","Never use","Rarely use","Use all the time",10,20,0,70,"5-10","This has happened as an INDIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as an INDIRECT result","This has happened as an INDIRECT result",1,,1,,1,,1,
6487557072,"10/31/2017 10:11:51 AM","10/31/2017 10:14:21 AM","I’m not a data scientist but I need some of the skills for my job or studies","Master’s degree","I work for a company","Somewhat interested","Somewhat interested","Somewhat interested","Somewhat interested","Somewhat interested","Use all the time","Use all the time","Never use","Never use","Never use","Regularly use","Regularly use","Never use","Regularly use","Never use","Never use","Never use","Never use",0,80,10,10,"None",,,,,,,1,,1,,1,,1,
6487556030,"10/31/2017 10:09:58 AM","10/31/2017 10:14:32 AM","I’m not a data scientist but I need some of the skills for my job or studies","Master’s degree","I’m a grad student","Definitely VERY interested","Definitely VERY interested","Neutral","Somewhat interested","Somewhat interested","Never use","Use all the time","Never use","Rarely use","Rarely use","Rarely use","Regularly use","Never use","Rarely use","Never use","Never use","Never use","Never use",20,60,15,5,"Less than 5","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as an INDIRECT result","It hasn't happened but I think it could",1,,1,,1,,1,
6487555318,"10/31/2017 10:09:48 AM","10/31/2017 10:13:31 AM","I want to be a data scientist","Master’s degree","I work for a company","Definitely VERY interested","Definitely VERY interested","Definitely VERY interested","Somewhat interested","Neutral","Regularly use","Rarely use","Never use","Never use","Use all the time","Never use","Rarely use","Never use","Never use","Never use","Never use","Never use","Never use",20,30,30,20,"None",,,,,,,1,,1,,1,,1,
6489172563,"10/31/2017 09:12:03 PM","10/31/2017 09:17:56 PM","I’m not a data scientist but I need some of the skills for my job or studies","High school","I work for a company","Neutral","Definitely VERY interested","Somewhat interested","Definitely VERY interested","Neutral","Rarely use","Rarely use","Never use","Never use","Use all the time","Never use","Use all the time","Never use","Never use","Never use","Never use","Never use","Never use",10,5,35,50,"5-10","This has happened as a DIRECT result","It hasn't happened but I think it could","This has happened as an INDIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as a DIRECT result",,,1,,1,,1,
6487651905,"10/31/2017 10:29:34 AM","10/31/2017 08:57:27 PM","I want to be a data scientist","Bachelor's degree","I work for a company","Somewhat interested","Definitely VERY interested","Somewhat interested","Definitely VERY interested","Neutral","Never use","Rarely use","Never use","Never use","Use all the time","Rarely use","Rarely use","Never use","Rarely use","Never use","Never use","Never use","Never use",10,80,10,0,"Less than 5","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could",,,1,,1,,1,
6487610756,"10/31/2017 10:27:20 AM","10/31/2017 10:33:25 AM","I’m a data scientist","Doctorate","I’m an entrepreneur","Somewhat interested","Neutral","Neutral","Neutral","Somewhat interested","Use all the time","Never use","Rarely use","Never use","Regularly use","Rarely use","Regularly use","Never use","Never use","Never use","Never use","Never use","Never use",20,44,34,2,"Less than 5","This has happened as a DIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could",,,1,,1,,1,
6487620562,"10/31/2017 10:32:42 AM","10/31/2017 10:38:09 AM","I’m not a data scientist but I need some of the skills for my job or studies","Doctorate","I’m a freelancer/consultant","Somewhat interested","Definitely VERY interested","Neutral","Somewhat interested","Somewhat interested","Never use","Rarely use","Never use","Never use","Use all the time","Never use","Use all the time","Never use","Use all the time","Never use","Never use","Never use","Never use",40,20,10,30,"Less than 5","This has happened as a DIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could",1,,,,1,,1,
6491741872,"11/01/2017 08:35:29 PM","11/01/2017 08:42:54 PM","I want to understand how data science can help my organization/business","Bachelor's degree","I work for a company","Definitely VERY interested","Somewhat interested","Neutral","Definitely VERY interested","Somewhat interested","Never use","Rarely use","Rarely use","Use all the time",,"Never use","Regularly use","Never use","Rarely use","Never use","Never use","Never use","Rarely use",20,40,20,20,"Less than 5","This has happened as a DIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as an INDIRECT result","This has happened as a DIRECT result",,,,,1,,1,
6488764737,"10/31/2017 04:56:07 PM","10/31/2017 05:02:55 PM","I’m not a data scientist but I need some of the skills for my job or studies","Bachelor's degree","I work for a company","Somewhat interested","Somewhat interested","Somewhat interested","Somewhat interested","Somewhat interested","Rarely use","Rarely use","Never use","Regularly use","Rarely use","Never use","Regularly use","Never use","Never use","Never use","Never use","Never use","Never use",50,10,35,5,"5-10","This has happened as a DIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as a DIRECT result",,,,,1,,1,
6488757197,"10/31/2017 04:56:33 PM","10/31/2017 04:59:41 PM","I’m a data scientist","Doctorate","I’m a professor","Definitely VERY interested","Definitely VERY interested","Definitely VERY interested","Neutral","Neutral","Regularly use","Never use","Regularly use","Never use","Regularly use","Never use","Never use","Never use","Never use","Never use","Never use","Never use","Never use",,,,,">10",,"It hasn't happened but I think it could",,"It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as a DIRECT result",,,,,1,,1,
6594611250,"12/19/2017 09:51:15 PM","12/19/2017 09:54:01 PM","I’m not a data scientist but I need some of the skills for my job or studies","Bachelor's degree","I work for a company","Somewhat interested","Definitely VERY interested","Somewhat interested","Definitely VERY interested","Somewhat interested","Never use","Rarely use","Never use","Never use","Regularly use","Never use","Use all the time","Never use","Rarely use","Never use","Never use","Rarely use","Never use",25,25,25,25,"None","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as an INDIRECT result",,,,1,,,1,
6580912115,"12/12/2017 04:45:24 PM","12/12/2017 04:48:08 PM","I’m a data scientist","Master’s degree","I work for a company","Somewhat interested","Somewhat interested","NOT interested","Somewhat interested","Neutral","Use all the time","Rarely use","Rarely use","Never use","Regularly use","Rarely use","Use all the time","Regularly use","Never use","Regularly use","Rarely use","Never use","Never use",70,5,5,20,">10","This has happened as a DIRECT result","This has happened as an INDIRECT result","This has happened as a DIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as an INDIRECT result",1,,1,,,,1,
6487632768,"10/31/2017 10:27:36 AM","10/31/2017 10:40:59 AM","I want to be a data scientist","Bachelor's degree","I work for a company","Definitely VERY interested","Definitely VERY interested","Definitely VERY interested","Definitely VERY interested","Somewhat interested","Never use","Use all the time","Never use","Rarely use","Regularly use","Never use","Regularly use","Rarely use","Never use","Rarely use","Rarely use","Never use","Never use",60,20,20,0,"5-10","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as a DIRECT result","This has happened as a DIRECT result",1,,1,,,,1,
6498664615,"11/05/2017 06:51:56 PM","11/05/2017 06:57:36 PM","I’m not a data scientist but I need some of the skills for my job or studies","Bachelor's degree","I work for a company","Somewhat interested","Definitely VERY interested","Definitely VERY interested","Definitely VERY interested","Somewhat interested","Never use","Never use","Never use","Never use","Use all the time","Never use","Rarely use","Never use","Never use","Never use","Never use","Never use","Never use",50,30,20,,">10","It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as an INDIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as a DIRECT result",,,1,,,,1,
6487666995,"10/31/2017 10:45:33 AM","10/31/2017 10:52:35 AM","Other (please specify)","Bachelor's degree","I work for a company","Somewhat interested","Definitely VERY interested","Somewhat interested","Somewhat interested","Neutral",,"Use all the time","Never use","Never use","Regularly use","Rarely use","Regularly use","Never use","Rarely use","Never use","Never use","Rarely use","Rarely use",40,10,20,30,"Less than 5","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as a DIRECT result","This has happened as a DIRECT result",1,,,,,,1,
6594286310,"12/19/2017 05:18:58 PM","12/19/2017 05:24:36 PM","I just come to the meetups for fun.","Master’s degree","Other (please specify)","Somewhat interested","Somewhat interested","Somewhat interested","Somewhat interested","Neutral","Rarely use","Rarely use","Never use","Never use","Rarely use","Rarely use","Never use","Never use","Never use","Never use","Never use","Never use","Never use",25,25,50,,"Less than 5","It hasn't happened but I think it could","I can't see this happening","I can't see this happening","I can't see this happening","This has happened as an INDIRECT result","This has happened as an INDIRECT result",,,,,,,1,
6491285640,"11/01/2017 04:33:17 PM","11/01/2017 04:38:07 PM","I want to understand how data science can help my organization/business","Bachelor's degree","Other (please specify)","Somewhat interested","Somewhat interested","Definitely VERY interested","Definitely VERY interested","Somewhat interested","Never use","Rarely use","Rarely use",,"Use all the time","Rarely use","Use all the time","Never use","Use all the time","Never use","Never use","Rarely use","Rarely use",5,75,10,10,"None","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could",,,,,,,1,
6487588002,"10/31/2017 10:18:36 AM","10/31/2017 10:25:05 AM","Other (please specify)","Bachelor's degree","I work for a non-profit","Definitely VERY interested","Definitely VERY interested","Somewhat interested","Somewhat interested","NOT interested",,,,,"Regularly use",,"Use all the time",,"Regularly use",,,,,15,,5,80,"Less than 5","I can't see this happening","It hasn't happened but I think it could","It hasn't happened but I think it could","I can't see this happening","It hasn't happened but I think it could","I can't see this happening",,,,,,,1,
6490083936,"11/01/2017 09:19:49 AM","11/01/2017 09:25:06 AM","I want to be a data scientist","Bachelor's degree","I work for a company","Definitely VERY interested","Definitely VERY interested","Definitely VERY interested","Somewhat interested","Neutral","Rarely use","Use all the time","Never use","Never use","Regularly use","Rarely use","Use all the time","Never use","Rarely use","Never use","Never use","Never use","Rarely use",50,20,10,20,"Less than 5","This has happened as a DIRECT result","It hasn't happened but I think it could","This has happened as a DIRECT result","It hasn't happened but I think it could","This has happened as an INDIRECT result","This has happened as an INDIRECT result",1,1,1,1,1,1,,
6493461141,"11/02/2017 01:09:23 PM","11/02/2017 01:22:20 PM","I want to be a data scientist","Master’s degree","I work for a company","Definitely VERY interested","Somewhat interested","Somewhat interested","Definitely VERY interested","Neutral","Use all the time","Regularly use","Rarely use","Rarely use","Use all the time","Never use","Rarely use","Never use","Never use","Never use","Never use","Never use","Never use",40,30,30,0,"Less than 5","This has happened as a DIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could",,,1,1,1,1,,
6487627987,"10/31/2017 10:35:24 AM","10/31/2017 10:39:22 AM","I just come to the meetups for fun.","Bachelor's degree","Other (please specify)","Somewhat interested","Somewhat interested","Definitely VERY interested","Somewhat interested","Somewhat interested","Never use","Never use","Never use","Never use","Rarely use","Rarely use","Rarely use","Never use","Never use","Never use","Never use","Never use","Never use",100,0,0,0,"5-10","This has happened as a DIRECT result","I can't see this happening","I can't see this happening","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could",,,1,1,1,1,,
6487550098,"10/31/2017 10:09:14 AM","10/31/2017 10:11:40 AM","I’m a data scientist","Master’s degree","I’m a freelancer/consultant","Definitely VERY interested","Definitely VERY interested","Neutral","Somewhat interested","Somewhat interested","Use all the time","Rarely use","Rarely use","Rarely use","Regularly use","Rarely use","Rarely use","Never use","Never use","Never use","Never use","Never use","Never use",70,10,10,10,">10","This has happened as a DIRECT result","This has happened as a DIRECT result","This has happened as a DIRECT result","It hasn't happened but I think it could","This has happened as an INDIRECT result","This has happened as an INDIRECT result",1,1,,,1,1,,
6489318578,"10/31/2017 11:19:46 PM","12/21/2017 03:09:13 PM","I’m a data scientist","Master’s degree","I work for a company","Definitely VERY interested","Somewhat interested","Definitely VERY interested","Definitely VERY interested","Neutral","Regularly use","Regularly use","Regularly use","Rarely use","Regularly use","Never use","Regularly use","Rarely use","Never use","Rarely use","Rarely use","Never use","Never use",50,15,15,20,"5-10","This has happened as a DIRECT result","It hasn't happened but I think it could","This has happened as a DIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could",,,,,1,1,,
6490927498,"11/01/2017 02:20:44 PM","11/01/2017 02:23:01 PM","I’m not a data scientist but I need some of the skills for my job or studies","Master’s degree","I’m an entrepreneur","Somewhat interested","Somewhat interested","Somewhat interested","Neutral","Definitely VERY interested","Rarely use","Rarely use","Never use","Never use","Regularly use","Never use","Regularly use","Never use","Never use","Never use","Never use","Rarely use","Never use",25,25,25,25,"Less than 5","This has happened as an INDIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could",,,,1,,1,,1,,
6548042983,"11/27/2017 07:53:03 PM","11/27/2017 08:11:17 PM","I’m a data scientist","Master’s degree","I work for a company","Definitely VERY interested","Somewhat interested","Somewhat interested","Definitely VERY interested","Somewhat interested","Use all the time","Rarely use","Never use","Rarely use","Rarely use","Never use","Regularly use","Use all the time","Rarely use","Rarely use","Rarely use","Never use","Never use",20,40,30,10,"Less than 5","This has happened as a DIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as an INDIRECT result",,,,1,,1,,
6596212898,"12/20/2017 03:43:40 PM","12/20/2017 03:47:40 PM","Other (please specify)","Master’s degree","I’m a grad student","Somewhat interested","Definitely VERY interested","Neutral","Neutral","Definitely VERY interested","Use all the time","Never use","Regularly use","Never use","Regularly use","Never use","Never use",,"Never use","Never use","Never use","Never use","Never use",40,50,10,,,"This has happened as a DIRECT result","This has happened as a DIRECT result","This has happened as a DIRECT result","This has happened as a DIRECT result","It hasn't happened but I think it could","This has happened as a DIRECT result",,,,,,1,,
6493465229,"11/02/2017 01:21:32 PM","11/02/2017 01:23:51 PM","I want to understand how data science can help my organization/business","High school","I’m an undergrad student","Definitely VERY interested","Definitely VERY interested","Definitely VERY interested","Definitely VERY interested","Somewhat interested","Use all the time","Use all the time",,"Regularly use","Rarely use","Never use","Never use","Never use","Never use","Never use","Never use","Never use","Never use",80,5,10,5,">10","This has happened as a DIRECT result","This has happened as an INDIRECT result","This has happened as an INDIRECT result","This has happened as an INDIRECT result","This has happened as an INDIRECT result","This has happened as an INDIRECT result",,,,,,1,,
6595523671,"12/20/2017 10:12:18 AM","12/20/2017 10:14:53 AM","I’m a data scientist","Master’s degree","I work for a company","Somewhat interested","Somewhat interested","Definitely VERY interested","Definitely VERY interested","Neutral","Use all the time","Rarely use","Rarely use","Regularly use","Regularly use","Never use","Regularly use","Never use","Rarely use","Never use","Never use","Never use","Never use",40,35,25,0,"Less than 5","It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as a DIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could",1,,1,,1,,,
6487576541,"10/31/2017 10:15:30 AM","10/31/2017 10:20:57 AM","I’m a data scientist","Master’s degree","I work for a company","Somewhat interested","Definitely VERY interested","Definitely VERY interested","Somewhat interested","Somewhat interested","Rarely use","Rarely use","Use all the time","Never use","Use all the time","Use all the time","Use all the time","Never use","Regularly use","Never use","Never use","Never use","Rarely use",10,45,40,5,">10","This has happened as a DIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as an INDIRECT result","This has happened as an INDIRECT result",,,1,,1,,,
6559031661,"12/01/2017 07:17:31 PM","12/01/2017 07:28:01 PM","I’m not a data scientist but I need some of the skills for my job or studies","Bachelor's degree","I’m a freelancer/consultant","Somewhat interested","Definitely VERY interested",,"Somewhat interested","Definitely VERY interested","Rarely use","Rarely use","Never use","Never use","Rarely use","Never use","Use all the time","Never use","Rarely use","Never use","Never use","Use all the time","Never use",25,25,25,25,"5-10","This has happened as a DIRECT result","It hasn't happened but I think it could","This has happened as an INDIRECT result","It hasn't happened but I think it could","This has happened as an INDIRECT result","This has happened as an INDIRECT result",1,,,,1,,,
6488130137,"10/31/2017 01:22:53 PM","10/31/2017 01:25:42 PM","I want to be a data scientist","Doctorate","I’m a freelancer/consultant","Definitely VERY interested","Somewhat interested","Neutral","Somewhat interested","NOT interested","Rarely use","Use all the time","Rarely use","Never use","Rarely use","Rarely use","Regularly use","Never use","Rarely use","Never use","Never use","Rarely use","Rarely use",40,40,10,10,"None","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","I can't see this happening","It hasn't happened but I think it could","It hasn't happened but I think it could",,,,,1,,,
6500478314,"11/06/2017 01:19:17 PM","11/06/2017 01:23:00 PM","I’m not a data scientist but I need some of the skills for my job or studies","Doctorate","I’m a grad student","Somewhat interested","Somewhat interested","Somewhat interested","Definitely VERY interested","Neutral","Use all the time","Rarely use","Never use","Never use","Rarely use","Never use","Rarely use","Never use","Never use","Never use","Never use","Never use","Never use",30,30,20,20,"None","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could",1,1,1,1,,,,
6487577388,"10/31/2017 10:15:25 AM","10/31/2017 10:21:15 AM","I want to be a data scientist","Master’s degree","I’m a professor","Definitely VERY interested","Definitely VERY interested","Definitely VERY interested","Definitely VERY interested","Neutral","Never use","Rarely use","Rarely use","Never use","Use all the time","Rarely use","Rarely use","Never use","Rarely use","Never use","Never use","Never use","Never use",20,50,30,0,"5-10","This has happened as a DIRECT result","It hasn't happened but I think it could","This has happened as a DIRECT result","It hasn't happened but I think it could","This has happened as a DIRECT result","This has happened as a DIRECT result",1,1,1,1,,,,
6588936536,"12/16/2017 09:27:16 AM","12/16/2017 09:32:28 AM","I’m not a data scientist but I need some of the skills for my job or studies","Master’s degree","I work for a company","Definitely VERY interested","Definitely VERY interested","Somewhat interested","Somewhat interested","Neutral","Never use","Rarely use","Never use","Never use","Regularly use","Rarely use","Regularly use","Never use","Rarely use","Never use","Never use","Never use","Never use",20,80,0,0,"5-10","It hasn't happened but I think it could","I can't see this happening","It hasn't happened but I think it could","I can't see this happening","This has happened as a DIRECT result","This has happened as an INDIRECT result",,,1,1,,,,
6513801838,"11/11/2017 10:53:21 PM","11/11/2017 11:02:26 PM","I’m not a data scientist but I need some of the skills for my job or studies","Doctorate","I’m a freelancer/consultant","Somewhat interested","Somewhat interested","Definitely VERY interested","Neutral","Neutral","Regularly use","Never use",,"Rarely use","Use all the time","Rarely use","Rarely use","Never use","Never use","Never use","Never use","Never use","Never use",10,30,40,20,"Less than 5","This has happened as an INDIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could",1,,1,,,,,
6490709735,"11/01/2017 01:01:55 PM","11/01/2017 01:04:21 PM","I’m a data scientist","Master’s degree","I work for a company","Somewhat interested","Neutral","Neutral","Somewhat interested","Somewhat interested","Rarely use","Use all the time","Rarely use","Regularly use","Use all the time","Never use","Use all the time","Never use","Never use","Never use","Never use","Never use","Never use",70,20,5,5,"Less than 5","This has happened as a DIRECT result","I can't see this happening","It hasn't happened but I think it could","It hasn't happened but I think it could","I can't see this happening","It hasn't happened but I think it could",1,,,,,,,
6598112769,"12/21/2017 03:27:17 PM","12/21/2017 03:29:13 PM","I’m a data scientist","Bachelor's degree","I work for a company","Somewhat interested","Somewhat interested","Neutral","Somewhat interested","Neutral","Rarely use","Regularly use","Rarely use","Regularly use","Use all the time","Never use","Use all the time","Never use","Never use","Never use","Never use","Never use","Never use",30,20,40,10,"5-10",,,,,,,,,,,,,,
6592426507,"12/18/2017 09:46:22 PM","12/18/2017 09:49:16 PM","I’m not a data scientist but I need some of the skills for my job or studies","Master’s degree","I work for a non-profit","Definitely VERY interested","Definitely VERY interested","Somewhat interested","Neutral","Neutral","Never use","Never use","Never use","Never use","Regularly use","Never use","Never use","Never use","Never use","Never use","Never use","Never use","Never use",,,,,"None",,,,,,,,,,,,,,
6580889195,"12/12/2017 04:37:05 PM","12/12/2017 04:41:14 PM","I want to be a data scientist","Master’s degree","I work for a company","Definitely VERY interested","Definitely VERY interested","Definitely NOT interested","Neutral","Neutral","Regularly use","Never use","Regularly use","Use all the time","Use all the time","Never use","Rarely use","Never use","Never use","Never use","Never use","Never use","Never use",30,40,30,0,"Less than 5","This has happened as a DIRECT result","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","It hasn't happened but I think it could","This has happened as an INDIRECT result",,,,,,,,
